File,Spots1,Spots2,Spots3,Area,DMax,Dmin,Smax,Smin
Plate001_Well001_Object1.tif_projection.tif,0,0,0,11639576,661.4024,110.0419,1819,126
Plate001_Well002_Object1.tif_projection.tif,0,0,1,5042555,2362.7571,125.9414,1969,151
Plate001_Well003_Object1.tif_projection.tif,370,272,489,1515167,12584.084,141.2762,2509,254
Plate002_Well001_Object1.tif_projection.tif,0,0,7,10463116,1549.1947,127.4712,1848,157
Plate002_Well002_Object1.tif_projection.tif,0,0,31,7595761,2527.1138,111.0442,1887,133
Plate002_Well003_Object1.tif_projection.tif,0,0,0,11451702,584.117,114.7559,2052,130
Plate003_Well001_Object1.tif_projection.tif,0,0,0,13455481,721.2783,108.9951,1989,113
Plate003_Well002_Object1.tif_projection.tif,3,3,0,6983515,397.6721,111.6656,2033,136
Plate003_Well003_Object1.tif_projection.tif,0,0,0,7059987,762.9282,110.5655,1631,121
Plate003_Well004_Object1.tif_projection.tif,0,0,0,493406,213.945,139.2979,1247,169
Plate001_Well001_Object2.tif_projection.tif,0,0,7,14647822,3295.1917,114.0535,2136,111
Plate001_Well002_Object2.tif_projection.tif,0,0,436,8269413,3201.4807,130.7548,2072,151
Plate001_Well003_Object2.tif_projection.tif,129,84,367,1713788,8892.4629,122.0342,2808,193
Plate002_Well001_Object2.tif_projection.tif,0,0,1,8657406,718.5891,122.0441,2027,147
Plate002_Well002_Object2.tif_projection.tif,0,0,0,7867727,470.5134,114.3968,1725,148
Plate002_Well003_Object2.tif_projection.tif,0,0,9,13056000,2248.7361,113.9251,1702,119
Plate003_Well001_Object2.tif_projection.tif,280,143,409,1269267,8411.4912,119.2046,2872,184
Plate003_Well002_Object2.tif_projection.tif,671,397,741,2498580,15240.6377,111.1307,2497,162
Plate003_Well003_Object2.tif_projection.tif,0,0,1,7638450,764.8619,124.3229,2316,143
Plate003_Well004_Object2.tif_projection.tif,0,0,15,6945755,2605.384,125.7658,2148,130
Plate001_Well001_Object3.tif_projection.tif,228,166,161,2462947,10225.6064,115.1654,2856,129
Plate001_Well002_Object3.tif_projection.tif,2,1,17,5870112,2082.8198,120.629,2260,163
Plate001_Well003_Object3.tif_projection.tif,0,0,28,5696329,3879.4822,120.697,1770,147
Plate002_Well001_Object3.tif_projection.tif,0,0,84,8000201,2554.5366,113.2388,1837,133
Plate002_Well002_Object3.tif_projection.tif,0,0,0,8010621,709.5496,123.5722,1636,143
Plate002_Well003_Object3.tif_projection.tif,0,0,7,7327651,1594.4707,116.9249,2105,155
Plate003_Well001_Object3.tif_projection.tif,0,0,0,8318452,636.4151,122.4336,3134,151
Plate003_Well002_Object3.tif_projection.tif,1,1,1,6323530,1158.4082,126.2721,8365,145
Plate003_Well003_Object3.tif_projection.tif,0,0,0,1080320,350.7505,122.8318,2486,166
Plate003_Well004_Object3.tif_projection.tif,0,0,9,10580078,2927.979,110.7142,1488,128
