Race,Fighter,Rogue,Wizard,Barbarian,Cleric,Ranger,Paladin,Warlock,Monk,Bard,Sorcerer,Druid
Human,4888,2542,2568,1435,2339,1715,2326,1714,1946,1454,1324,996
Elf,1242,2257,2744,336,921,3076,492,755,1349,651,841,1779
Half-elf,646,1325,611,153,628,891,814,1401,399,1808,1258,516
Dwarf,2009,362,395,1323,2199,415,971,286,405,394,264,484
Dragonborn,1335,325,346,875,510,355,1688,584,457,371,1031,309
Tiefling,379,798,516,198,353,272,473,2188,309,806,1062,281
Genasi,580,495,558,388,459,420,322,415,750,3525,648,584
Halfling,339,1797,257,306,308,440,207,296,551,801,310,302
Half-orc,976,233,143,1709,272,245,427,212,284,199,126,215
Gnome,257,600,1360,227,304,238,151,311,196,400,257,332
Gliath,865,139,109,1729,192,187,389,136,326,144,114,190
Aarakocra,273,362,181,313,249,572,149,203,835,279,177,275
Aasimar,116,71,67,70,274,60,429,210,87,144,174,65
