,File,Condition,Time,TUNEL,H3p,Area,TUNEL_Density,H3p_Density
0,Plate007_Well1_Object2.tif_projection.tif,CA,1,370,489,0.9218276028,401.3765685429094,530.4679513986018
1,Plate005_Well1_Object3.tif_projection.tif,NAC,0,0,0,0.3001882104,0.0,0.0
2,Plate006_Well4_Object4.tif_projection.tif,CA,0.3,129,367,1.0426686192,123.72099593730634,351.98143805419716
3,Plate007_Well3_Object3.tif_projection.tif,CA,4,280,409,0.7722220428000001,362.59001230364777,529.6404108292569
4,Plate007_Well2_Object1.tif_projection.tif,CA,2,671,741,1.520136072,441.407853125401,487.4563623933266
5,Plate006_Well3_Object0.tif_projection.tif,CA,0,228,161,1.4984569548,152.1565229282354,107.4438604887978
6,Plate005_Well1_Object4.tif_projection.tif,NAC,0,112,6,1.011659688,110.7091656695527,5.930848160868895
7,Plate005_Well3_Object2.tif_projection.tif,NAC,1,327,26,0.5432653044,601.9158546507024,47.858752969169004
8,Plate006_Well4_Object3.tif_projection.tif,CA,0.3,75,282,0.7494624072,100.07173045570204,376.2697065134397
9,Plate005_Well1_Object2.tif_projection.tif,NAC,0,219,13,1.16608986,187.8071386368114,11.148368960176017
10,Plate006_Well3_Object2.tif_projection.tif,CA,0,199,203,1.457902836,136.49743665084688,139.24110371920565
11,Plate006_Well3_Object3.tif_projection.tif,CA,0,80,61,0.9703262088,82.44650023308739,62.86545642772914
12,Plate006_Well4_Object1.tif_projection.tif,CA,0.3,1,0,0.1886186016,5.301704028750471,0.0
13,Plate005_Well2_Object2.tif_projection.tif,NAC,0.3,468,60,1.1378655756,411.2963868805172,52.73030601032272
14,Plate007_Well1_Object0.tif_projection.tif,CA,1,14,0,10.0314707688,1.3956079145984222,0.0
15,Plate007_Well3_Object5.tif_projection.tif,CA,4,553,470,1.0107525636,547.1170887070308,465.00005730977296
16,Plate007_Well1_Object1.tif_projection.tif,CA,1,543,606,0.9430638048,575.7828868378175,642.5864261946913
17,Plate006_Well4_Object5.tif_projection.tif,CA,0.3,173,408,1.0858577184,159.3210575091861,375.739835050566
18,Plate006_Well1_Object4.tif_projection.tif,NAC,4,1906,77,1.3053672216,1460.1255251865439,58.98723265444066
19,Plate007_Well4_Object0.tif_projection.tif,CA,8,228,226,0.8033155416000001,283.82371333919673,281.33403164323886
20,Plate006_Well1_Object1.tif_projection.tif,NAC,4,2039,54,0.8283925728,2461.3933863604047,65.18648497472381
21,Plate006_Well3_Object4.tif_projection.tif,CA,0,180,120,1.1250027828,159.99960422497895,106.66640281665266
22,Plate007_Well4_Object1.tif_projection.tif,CA,8,372,180,0.9344208744,398.1075446745177,192.63268290702482
23,Plate006_Well2_Object0.tif_projection.tif,NAC,8,678,36,1.0115331408,670.2696853449452,35.589540814775845
24,Plate006_Well1_Object3.tif_projection.tif,NAC,4,1333,33,0.7331043564,1818.2950194783482,45.01405524590059
25,Plate005_Well1_Object0.tif_projection.tif,NAC,0,408,3,0.9270336816,440.1134587643229,3.23612837326708
26,Plate006_Well1_Object0.tif_projection.tif,NAC,4,1854,367,0.8469852767999999,2188.940056909381,433.3015107258592
27,Plate005_Well3_Object1.tif_projection.tif,NAC,1,816,100,0.8987485571999999,907.9291348652638,111.26582535113528
28,Plate006_Well2_Object2.tif_projection.tif,NAC,8,291,3,0.6112400111999999,476.0813995613644,4.9080556655810765
29,Plate007_Well2_Object0.tif_projection.tif,CA,2,305,434,0.8540244648,357.1326262549475,508.1821632611384
30,Plate005_Well2_Object3.tif_projection.tif,NAC,0.3,489,17,1.0148404032,481.84916412283417,16.751402433718162
31,Plate005_Well4_Object3.tif_projection.tif,NAC,2,1619,565,0.7699624452,2102.6999564627595,733.8020231015809
32,Plate007_Well4_Object2.tif_projection.tif,CA,8,525,176,1.1521684512,455.66253741213364,152.755441113401
33,Plate007_Well4_Object3.tif_projection.tif,CA,8,315,186,1.3015245672,242.0238602776948,142.90932702111505
34,Plate005_Well4_Object0.tif_projection.tif,NAC,2,1285,296,0.6570306288000001,1955.7687932249412,450.51172201913033
35,Plate005_Well2_Object0.tif_projection.tif,NAC,0.3,434,13,0.8690981832000001,499.3682053298302,14.958033800202287
36,Plate007_Well3_Object0.tif_projection.tif,CA,4,9,0,4.1495721228,2.168898318587866,0.0
37,Plate005_Well3_Object3.tif_projection.tif,NAC,1,590,49,0.5789680415999999,1019.0545204697532,84.63334153053881
38,Plate005_Well3_Object4.tif_projection.tif,NAC,1,511,39,0.7308909972,699.1466606615908,53.35952987436798
39,Plate005_Well1_Object5.tif_projection.tif,NAC,0,427,13,1.1645652095999999,366.66044673158683,11.162964420399597
40,Plate006_Well4_Object2.tif_projection.tif,CA,0.3,95,591,1.4893291296000002,63.78710931781403,396.8229642824009
41,Plate007_Well1_Object5.tif_projection.tif,CA,1,186,475,0.7637932692,243.52139184836898,621.8960275697596
42,Plate005_Well4_Object1.tif_projection.tif,NAC,2,2379,585,1.1744809128,2025.5757024849288,498.0923858569497
43,Plate006_Well1_Object2.tif_projection.tif,NAC,4,0,0,0.0616497804,0.0,0.0
44,Plate006_Well3_Object1.tif_projection.tif,CA,0,250,106,1.3378679496,186.86448096371976,79.23053992861719
45,Plate007_Well3_Object2.tif_projection.tif,CA,4,1202,470,0.9132199595999999,1316.221779171897,514.6624261321061
46,Plate007_Well1_Object4.tif_projection.tif,CA,1,207,496,1.0289212128,201.18158458089474,482.0582896237864
47,Plate007_Well1_Object3.tif_projection.tif,CA,1,211,492,0.96703659,218.1923643654476,508.7708211744087
48,Plate005_Well1_Object1.tif_projection.tif,NAC,0,203,11,1.2431066076000001,163.30055584848137,8.848798592774852
49,Plate005_Well2_Object1.tif_projection.tif,NAC,0.3,455,45,1.2116705796,375.51460575217214,37.138807162302754
50,Plate006_Well2_Object4.tif_projection.tif,NAC,8,606,6,0.7120263384000001,851.0921117914647,8.426654572192719
51,Plate006_Well2_Object3.tif_projection.tif,NAC,8,991,24,0.762708492,1299.3168561705222,31.46680580029519
52,Plate007_Well3_Object4.tif_projection.tif,CA,4,930,471,1.0181129868,913.45460872968,462.6205599050315
53,Plate007_Well2_Object4.tif_projection.tif,CA,2,378,643,1.1173077396,338.3132386922562,575.4905092040229
54,Plate007_Well3_Object1.tif_projection.tif,CA,4,1410,486,1.2361757148,1140.6145446144142,393.14799197347884
55,Plate007_Well2_Object3.tif_projection.tif,CA,2,437,387,0.864609408,505.4305400294696,447.6009587903998
56,Plate007_Well2_Object2.tif_projection.tif,CA,2,499,528,1.0929413196,456.5661404242878,483.1000443768015
57,Plate005_Well3_Object0.tif_projection.tif,NAC,1,530,41,0.8739933696,606.4119230590558,46.91111102909676
58,Plate005_Well4_Object2.tif_projection.tif,NAC,2,1196,406,0.746433792,1602.2854442259759,543.9196407656742
59,Plate006_Well2_Object1.tif_projection.tif,NAC,8,356,2,0.3215953728,1106.9811014395289,6.218994951907468
